Place of Origin,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Qatar,416,463,461,441,354,290,254,296,345,463,663,716,979,994,1 191,1 252,1 443,1 420,1 127,834,670,562,500,404
Saudi Arabia,5 156,5 273,5 579,4 175,3 521,3 035,3 448,7 886,9 873,12 661,15 810,22 704,34 139,44 566,53 919,59 945,61 287,52 611,44 432,37 080,30 957,21 933,18 206,15 989
Syria,641,713,735,642,556,498,446,462,517,454,424,526,458,505,693,792,783,827,726,566,463,425,385,402
United Arab Emirates,2 539,2 659,2 121,1 792,1 248,1 158,978,885,983,1 218,1 653,1 871,2 097,2 256,2 784,2 878,2 920,2 753,2 486,2 361,2 074,1 737,1 618,1 502
Yemen,372,411,436,375,284,238,246,248,233,249,265,268,269,353,440,516,599,658,517,398,320,293,305,305
North Africa,4 172,4 818,5 215,4 787,4 208,3 608,3 461,3 379,3 634,4 229,4 941,5 420,5 456,5 879,6 246,6 692,7 301,7 544,7 268,6 961,6 982,6 282,6 790,7 281
Algeria,214,220,196,177,148,143,132,145,179,172,178,158,177,176,173,175,158,192,212,238,239,219,268,302
Egypt,1 964,2 255,2 409,2 155,1 822,1 574,1 509,1 664,1 766,1 915,2 271,2 181,2 201,2 608,2 832,2 974,3 442,3 715,3 701,3 675,3 859,3 672,3 967,4 247
Libya,38,39,42,33,39,39,38,93,155,667,1 064,1 494,1 328,1 343,1 379,1 578,1 514,1 311,1 064,884,720,563,472,449
Morocco,1 607,1 917,2 102,2 034,1 835,1 571,1 502,1 202,1 132,1 169,1 120,1 201,1 305,1 293,1 324,1 373,1 495,1 634,1 563,1 461,1 499,1 294,1 466,1 603
Tunisia,344,385,458,381,341,268,277,274,402,306,308,386,445,459,538,592,692,692,728,703,665,534,617,680
Canada,23 544,25 279,26 514,26 513,27 017,28 140,28 202,28 280,29 051,29 697,28 145,27 546,26 821,27 357,28 304,27 240,26 973,27 065,25 909,26 122,25 992,25 143,27 013,27 876
Australia,2 617,2 645,2 707,2 777,2 706,2 659,2 806,2 797,3 088,3 203,3 296,3 777,3 848,4 121,4 377,4 511,4 752,4 933,4 908,4 930,4 982,3 623,3 892,4 504
Cook Islands,9,4,4,5,3,3,12,3,5,1,9,4,6,7,5,2,5,0,5,17,0,8,4,2
Fiji,214,250,247,212,177,184,177,112,177,192,157,138,122,136,124,89,111,100,109,98,90,89,85,134
French Polynesia,94,71,110,80,97,91,87,21,58,35,28,30,42,37,28,23,31,30,30,60,49,65,39,56
Kiribati,46,42,35,47,53,32,34,58,36,30,31,31,48,70,84,41,53,64,58,91,67,53,28,42
Nauru,4,4,2,3,0,8,8,5,3,6,2,11,7,1,6,9,0,1,1,1,2,1,3,3
New Caledonia,12,7,2,9,9,9,21,5,9,7,12,13,8,7,9,7,2,5,6,4,6,7,2,2
New Zealand,956,971,1 046,1 041,962,900,929,870,1 021,1 074,1 103,1 164,1 204,1 311,1 337,1 472,1 608,1 741,1 785,1 841,1 856,1 520,1 539,1 651
Niue,5,5,18,17,11,6,5,5,3,11,36,8,8,7,2,8,2,4,4,2,1,10,0,1
Norfolk Island,0,1,2,1,0,0,1,0,0,0,5,0,0,0,0,0,2,1,3,1,2,2,0,0
Palau,58,48,45,57,45,38,34,22,44,33,32,31,21,20,6,10,12,15,31,26,34,25,19,13
Papua New Guinea,38,30,32,37,32,35,64,27,35,56,52,50,60,78,79,87,87,77,83,86,88,100,92,104
Samoa,189,118,107,125,103,123,87,27,72,94,43,49,51,53,51,21,60,56,93,103,76,106,72,66
Solomon Islands,5,7,8,10,9,19,12,6,14,6,8,7,13,10,11,7,5,8,9,15,17,16,14,10
Tonga,164,188,164,144,111,146,168,47,201,115,102,103,104,105,116,95,130,133,169,186,161,189,119,147
Tuvalu,4,2,2,9,5,1,1,3,5,4,2,2,3,2,1,7,4,3,4,4,4,6,1,3
Vanuatu,3,5,6,8,5,7,9,5,5,5,5,8,8,7,7,8,9,11,14,15,13,11,11,8
