Place of Origin,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hong Kong,7 545,7 627,7 757,8 076,7 353,7 180,7 849,7 722,8 286,8 329,8 034,8 136,8 032,8 026,8 104,8 012,7 923,7 547,7 162,6 917,6 778,5 878,5 848,5 867
Japan,46 872,46 497,46 810,45 960,40 835,42 215,38 712,35 282,33 974,29 264,24 842,21 290,19 966,19 568,19 334,19 064,19 060,18 780,18 753,18 105,17 554,11 785,13 449,16 054
Macau,297,372,371,385,374,383,407,388,421,429,468,497,505,533,552,573,586,605,555,558,503,422,394,360
Mongolia,325,442,574,739,711,769,927,1 156,1 308,1 522,1 258,1 259,1 423,1 361,1 444,1 481,1 434,1 410,1 481,1 336,1 438,1 258,1 355,1 488
North Korea,201,127,113,213,174,219,201,266,65,43,57,16,15,17,19,8,18,8,3,2,1,2,4,3
South Korea,41 191,45 685,49 046,51 519,52 484,53 358,59 022,62 392,69 124,75 065,72 153,73 351,72 295,70 627,68 047,63 710,61 007,58 663,54 555,52 250,49 809,39 491,40 755,43 847
Taiwan,29 234,28 566,28 930,28 017,26 178,25 914,27 876,29 094,29 001,28 065,26 685,24 818,23 250,21 867,21 266,20 993,21 127,21 516,22 454,23 369,23 724,19 673,20 487,21 834
Afghanistan,110,75,92,102,109,155,175,268,338,407,426,429,371,449,450,471,498,506,476,418,422,354,420,682
Bangladesh,3 845,4 114,3 935,3 596,3 198,2 758,2 581,2 410,2 305,2 706,2 619,2 873,3 314,3 828,4 802,5 455,6 513,7 143,7 496,8 249,8 838,8 598,10 597,13 563
Bhutan,57,62,78,68,63,70,77,83,96,109,126,115,100,133,127,128,143,148,152,146,154,116,143,188
India,42 337,54 664,66 836,74 603,79 736,80 466,76 503,83 833,94 563,103 260,104 897,103 895,100 270,96 754,102 673,132 888,165 918,186 267,196 271,202 014,193 124,167 582,199 182,268 923
Kazakhstan,542,540,617,556,538,477,626,1 212,1 456,1 714,1 936,1 890,1 938,1 969,2 012,2 017,1 935,1 792,1 865,1 879,2 091,1 830,2 121,2 440
Kyrgyzstan,126,160,230,217,179,185,189,209,264,275,274,279,254,261,244,227,227,216,227,290,357,328,478,705
Maldives,18,13,16,23,15,24,26,26,38,36,39,34,29,33,39,34,37,40,32,25,29,23,23,27
Nepal,2 411,2 618,3 019,3 729,4 384,4 861,6 061,7 754,8 936,11 581,11 233,10 301,9 621,8 920,8 155,8 158,9 662,11 607,13 270,13 229,12 730,11 172,11 799,15 090
Pakistan,6 107,6 948,8 644,8 123,7 325,6 296,5 759,5 401,5 345,5 298,5 222,5 045,4 600,4 772,4 935,5 354,6 141,7 015,7 537,7 957,7 939,7 475,8 772,10 164
Sri Lanka,1 968,1 964,2 069,2 094,1 964,1 992,2 157,2 373,2 591,2 976,2 957,2 965,2 902,3 046,2 917,2 882,3 080,3 263,3 309,3 334,3 206,2 770,2 928,3 106
Tajikistan,71,118,143,167,117,158,185,164,364,342,288,249,298,312,270,254,235,204,222,229,242,205,183,170
Turkmenistan,65,65,71,102,98,103,154,143,166,180,195,210,209,178,214,201,216,231,234,280,272,269,223,299
Uzbekistan,493,418,381,386,412,416,472,581,539,688,513,560,486,445,463,491,530,505,570,571,546,538,631,1 089
Brunei,26,25,27,17,13,18,12,24,34,39,43,66,69,61,60,73,59,53,53,50,54,37,42,41
Burma,527,673,875,870,691,651,650,625,604,667,695,796,807,955,1 042,1 067,1 194,1 351,1 569,1 773,1 828,1 698,1 909,2 483
Cambodia,152,187,247,329,330,333,364,329,369,353,347,340,333,393,432,492,499,512,659,685,742,848,875,1 060
Indonesia,11 300,11 625,11 614,10 432,8 880,7 760,7 575,7 338,7 692,7 509,6 943,6 942,7 131,7 670,7 920,8 188,8 727,8 776,8 650,8 356,8 300,7 489,8 003,8 467
Laos,131,96,133,108,65,63,65,45,69,80,64,49,43,50,57,63,63,91,104,96,131,113,101,107
Malaysia,9 074,7 795,7 395,6 595,6 483,6 142,5 515,5 281,5 428,5 942,6 190,6 735,6 743,6 791,6 822,7 231,7 834,8 247,8 271,7 709,6 910,5 280,4 933,4 973
Philippines,3 143,3 139,3 295,3 576,3 467,3 531,3 758,3 730,4 170,4 226,3 815,3 604,3 194,3 215,3 112,3 026,2 886,3 006,3 225,3 320,3 295,2 907,3 278,3 818
Singapore,4 250,4 166,4 141,4 189,3 955,3 769,3 909,3 705,3 976,3 989,4 051,4 316,4 505,4 558,4 592,4 727,4 865,4 677,4 575,4 632,4 504,3 558,3 901,4 484
Thailand,10 983,11 187,11 606,9 982,8 937,8 637,8 765,8 886,9 004,8 736,8 531,8 236,7 626,7 314,7 341,7 217,7 113,6 893,6 636,6 503,6 154,4 960,5 007,5 376
Vietnam,2 266,2 022,2 531,2 722,3 165,3 670,4 597,6 036,8 769,12 823,13 112,14 888,15 572,16 098,16 579,18 722,21 403,22 438,24 325,24 392,23 777,21 631,20 713,21 900
Albania,855,1 118,1 129,1 106,916,866,904,841,689,757,790,697,659,649,636,670,705,781,884,993,1 095,1 053,1 026,1 087
Andorra,13,5,8,11,9,11,6,3,9,12,11,14,24,13,9,9,11,16,14,17,11,16,18,20
Armenia,342,366,439,390,412,410,408,427,403,401,374,350,363,345,272,304,270,280,313,328,339,318,366,457
Austria,1 041,1 062,1 079,1 060,899,885,843,843,886,909,994,1 019,989,1 036,1 062,1 114,1 141,1 111,1 148,1 098,1 105,655,977,1 054
Azerbaijan,166,253,277,277,238,252,337,286,318,364,409,440,460,388,383,408,391,386,426,489,571,556,728,901
Belarus,283,311,411,417,422,431,458,496,457,443,408,347,358,355,306,330,323,319,351,378,388,356,357,382
Belgium,904,881,884,847,823,743,754,703,812,858,845,904,880,894,948,1 001,1 094,1 087,1 080,1 073,1 055,756,988,1 044
Bosnia and Herzegovina,447,477,511,528,433,359,369,413,409,409,404,356,341,364,319,296,309,303,290,300,287,261,257,236
