Mary,Domestic,"$24,801,212"
Mary,Mexico,"$3,281,905"
Mary,Colombia,"$299,436"
Mary,Argentina,"$64,462"
Mary,Uruguay,"$19,899"
Mary,Bolivia,"$18,558"
Mary,Israel,"$1,434,847"
Mary,United Kingdom,"$880,212"
Mary,France,"$796,952"
Mary,Spain,"$639,069"
Mary,Italy,"$613,713"
Mary,Germany,"$393,123"
Mary,Netherlands,"$231,836"
Mary,Türkiye,"$155,895"
Mary,Switzerland,"$95,871"
Mary,South Africa,"$78,502"
Mary,Norway,"$31,698"
Mary,Lithuania,"$22,664"
Mary,United Arab Emirates,"$19,972"
Mary,Taiwan,"$742,822"
Mary,Australia,"$549,724"
Mary,Philippines,"$169,082"
Mary,Hong Kong,"$163,061"
Mary,Singapore,"$138,743"
Mary,Russia/CIS,"$77,586"
Mary,South Korea,"$28,233"
Step into Liquid,Australia,–
Step into Liquid,New Zealand,–
Idlewild,United Kingdom,"$27,280"
Idlewild,France,–
Idlewild,Germany,–
Idlewild,Spain,–
Wassup Rockers,France,–
Wassup Rockers,Bulgaria,$904
Wassup Rockers,Hungary,–
Wassup Rockers,Mexico,–
The Prince and the Surfer,United Kingdom,"$687,029"
The Prince and the Surfer,Germany,–
The Prince and the Surfer,Spain,–
The Prince and the Surfer,South Africa,–
The Prince and the Surfer,Denmark,–
The Prince and the Surfer,Türkiye,"$58,469"
The Prince and the Surfer,Netherlands,–
The Prince and the Surfer,Italy,"$223,733"
The Prince and the Surfer,Switzerland,–
The Prince and the Surfer,Belgium,–
The Prince and the Surfer,Austria,–
The Prince and the Surfer,Hungary,–
The Prince and the Surfer,United Arab Emirates,"$45,015"
The Prince and the Surfer,Portugal,–
The Prince and the Surfer,Norway,"$15,294"
The Prince and the Surfer,Finland,–
The Prince and the Surfer,Sweden,–
The Prince and the Surfer,Czech Republic,–
The Prince and the Surfer,Poland,"$25,225"
The Prince and the Surfer,Lebanon,–
The Prince and the Surfer,Egypt,–
The Prince and the Surfer,Iceland,–
